# Generated on 20231113_061543
# START DATA TYPES
# int64 : UID.metadata,UID.source
# float64 : sample.composition.pu.238.value,sample.composition.pu.239.value,sample.composition.pu.240.value,sample.composition.pu.241.value,sample.composition.pu.242.value,sample.composition.am.241.value,configuration.distance
# object : sample.material.type,sample.material.chemical_composition,sample.material.form,configuration.detector.material,configuration.detector.geometry,configuration.detector.analyzer,configuration.attenuators,supplementary.detector_size,supplementary.electronics,supplementary.measurement_geometry
# END DATA TYPES
UID.metadata,UID.source,sample.material.type,sample.material.chemical_composition,sample.material.form,sample.composition.pu.238.value,sample.composition.pu.239.value,sample.composition.pu.240.value,sample.composition.pu.241.value,sample.composition.pu.242.value,sample.composition.am.241.value,configuration.detector.material,configuration.detector.geometry,configuration.detector.analyzer,configuration.attenuators,configuration.distance,supplementary.detector_size,supplementary.electronics,supplementary.measurement_geometry
2000,200,Pu,-3,-3,0.0,99.9789,0.021,0.0001,0.0,0.0003,HPGe,Semi-planar,DSPEC,Cd:~0.75,-3.0,70 mm dia by 29.5 mm thick semi-planar,Unknown,
2001,200,Pu,-3,-3,0.006,95.4185,4.51,0.0586,0.007,0.1653,HPGe,Coax,DSPEC,Cd:~2,-3.0,56 mm dia by 56 mm thick coaxial,Unknown,
2002,200,Pu,-3,-3,0.0067,93.974,5.853,0.1467,0.02,5.363,HPGe,Planar,Unknown,Cd:~2,-3.0,16mm dia x 13 mm deep planar,"Commercial NIM electronics circa mid 1980s, models not recorded",
2003,200,Pu,-3,-3,0.00888,93.925,5.861,0.1757,0.0291,0.1997,HPGe,Coax,Unknown,Cd:2.0,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, models not recorded.",
2004,200,Pu,-3,-3,0.00889,93.924,5.861,0.1765,0.0291,0.1989,HPGe,Coax,Unknown,Unknown,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, models not recorded",
2005,200,Pu,-3,-3,0.0103,93.982,5.726,0.2456,0.037,3.6135,HPGe,Planar,Unknown,Cd:~2,-3.0,16mm dia x 13 mm deep planar,"Commercial NIM electronics circa mid 1980s, models not recorded",
2006,200,Pu,-3,-3,0.0111,93.4782,6.314,0.1572,0.0395,0.1697,HPGe,Coax,Unknown,Unknown,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, models not recorded",
2007,200,Pu,-3,-3,0.01195,0.023,99.9351,0.00098,0.029,0.00202,HPGe,Coax,DSPEC,Cd:~0.75,-3.0,56 mm dia by 56 mm thick coaxial,Unknown,
2008,201,Pu,-3,-3,0.0219,89.8676,9.7039,0.2935,0.1131,0.6005,HPGe,Coax,Unknown,Cd:2.0:Pb:12.5,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, ORTEC successive approximations ADC, model not recorded.",
2009,200,Pu,-3,-3,0.05106,82.4943,16.467,0.6291,0.3586,0.7853,HPGe,Coax,Unknown,Cd:2.0:Pb:12.5,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, ORTEC successive approximations ADC, model not recorded.",
2010,206,Pu,-3,-3,0.05749,82.2457,16.534,0.8085,0.3542,0.7846,HPGe,Coax,Unknown,Cd:~2,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, models not recorded",
2011,200,Pu,-3,-3,0.0619,87.342,11.789,0.6057,0.201,0.6534,HPGe,Coax,Unknown,Cd:~2,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, models not recorded",
2012,200,Pu,-3,-3,0.0619,87.343,11.789,0.6047,0.201,0.6543,HPGe,Coax,Unknown,Cd:2.0:Pb:1.6,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, models not recorded.",
2013,204,Pu,-3,-3,0.0666,84.6062,14.2441,0.7243,0.3588,0.5203,HPGe,Coax,Unknown,Cd:~2,-3.0,Approx 25% rel eff closed end coax,"Commercial NIM electronics, models not recorded",
